# Top 100 California institutions by Fall 2024 enrollment.
# Source: IPEDS fall_enrollment_2024 (efalevel=1, grand total).
# Includes UC system, CSU system, California Community Colleges, and
# the largest private institutions (USC, Stanford, etc.).
# unitid | enrollment | name                                                  | carnegie
110662 |  47335 | University of California-Los Angeles                    | Doctoral Universities: Very High Research Activity
123961 |  46566 | University of Southern California                       | Doctoral Universities: Very High Research Activity
110635 |  45882 | University of California-Berkeley                       | Doctoral Universities: Very High Research Activity
110680 |  44256 | University of California-San Diego                      | Doctoral Universities: Very High Research Activity
110565 |  43662 | California State University-Fullerton                   | Doctoral Universities: High Research Activity
110583 |  42003 | California State University-Long Beach                  | Doctoral Universities: High Research Activity
488846 |  41961 | University of the People                                | Masters Colleges & Universities: Larger Programs
122409 |  41137 | San Diego State University                              | Doctoral Universities: High Research Activity
110644 |  40065 | University of California-Davis                          | Doctoral Universities: Very High Research Activity
110608 |  38313 | California State University-Northridge                  | Masters Colleges & Universities: Larger Programs
122755 |  37661 | San Jose State University                               | Masters Colleges & Universities: Larger Programs
110653 |  37297 | University of California-Irvine                         | Doctoral Universities: Very High Research Activity
113856 |  33677 | East Los Angeles College                                | Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
110617 |  31943 | California State University-Sacramento                  | Masters Colleges & Universities: Larger Programs
109819 |  30746 | Bakersfield College                                     | Baccalaureate/Associate's Colleges: Associate's Dominant
109208 |  30462 | American River College                                  | Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional
119164 |  29971 | Mt San Antonio College                                  | Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional
114789 |  28071 | Fresno City College                                     | Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional
154022 |  28004 | Ashford University                                      | Doctoral/Professional Universities
110529 |  27636 | California State Polytechnic University-Pomona          | Masters Colleges & Universities: Larger Programs
121619 |  27248 | Santa Ana College                                       | Baccalaureate/Associate's Colleges: Associate's Dominant
110671 |  26384 | University of California-Riverside                      | Doctoral Universities: Very High Research Activity
110705 |  26133 | University of California-Santa Barbara                  | Doctoral Universities: Very High Research Activity
117645 |  24985 | Long Beach City College                                 | Associate's Colleges: High Transfer-High Traditional
121044 |  24597 | Pasadena City College                                   | Associate's Colleges: High Transfer-High Traditional
110556 |  24427 | California State University-Fresno                      | Doctoral Universities: High Research Activity
122977 |  23453 | Santa Monica College                                    | Baccalaureate/Associate's Colleges: Associate's Dominant
110592 |  23163 | California State University-Los Angeles                 | Masters Colleges & Universities: Larger Programs
110422 |  23069 | California Polytechnic State University-San Luis Obispo | Masters Colleges & Universities: Larger Programs
122597 |  22563 | San Francisco State University                          | Doctoral Universities: High Research Activity
111939 |  22460 | Chaffey College                                         | Associate's Colleges: High Transfer-High Traditional
119605 |  22115 | National University                                     | Masters Colleges & Universities: Larger Programs
111887 |  21859 | Cerritos College                                        | Associate's Colleges: High Transfer-High Traditional
121901 |  21730 | Riverside City College                                  | Associate's Colleges: High Transfer-High Traditional
113980 |  21664 | El Camino Community College District                    | Associate's Colleges: High Transfer-High Traditional
123800 |  20986 | Southwestern College                                    | Associate's Colleges: High Transfer-High Traditional
122658 |  20969 | San Joaquin Delta College                               | Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional
122205 |  20764 | Saddleback College                                      | Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional
110714 |  19938 | University of California-Santa Cruz                     | Doctoral Universities: Very High Research Activity
122180 |  19920 | Sacramento City College                                 | Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional
