# California State University system — top 20 campuses by Fall 2024 enrollment.
# Source: IPEDS fall_enrollment_2024 (efalevel=1, grand total).
# Ranked DESC; smallest 3 (Sonoma, Channel Islands, Maritime) excluded.
# unitid  | enrollment | name
110565    | 43662 | California State University-Fullerton
110583    | 42003 | California State University-Long Beach
122409    | 41137 | San Diego State University
110608    | 38313 | California State University-Northridge
122755    | 37661 | San Jose State University
110617    | 31943 | California State University-Sacramento
110529    | 27636 | California State Polytechnic University-Pomona
110556    | 24427 | California State University-Fresno
110592    | 23163 | California State University-Los Angeles
110422    | 23069 | California Polytechnic State University-San Luis Obispo
122597    | 22563 | San Francisco State University
110510    | 18492 | California State University-San Bernardino
366711    | 16237 | California State University-San Marcos
110538    | 15257 | California State University-Chico
110547    | 15182 | California State University-Dominguez Hills
110574    | 12326 | California State University-East Bay
110486    | 10419 | California State University-Bakersfield
110495    |  9724 | California State University-Stanislaus
409698    |  7713 | California State University-Monterey Bay
115755    |  6237 | California State Polytechnic University-Humboldt
